,Illinois State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maya Wong,1,10,1,3,0,7,4,4,0,4,2,1,0,2,0,6,0.4,1.0
1,Juliunn Redmond,10,21,9,18,1,3,4,5,3,0,3,1,0,1,3,25,0.19047619047619047,3.0
2,Mary Crompton,4,12,1,1,3,11,0,0,2,4,2,0,0,0,0,11,0.0,0.0
3,Kate Bullman,2,10,1,3,1,7,0,0,2,3,2,2,0,2,2,5,0.0,1.0
4,Deanna Wilson,3,7,3,7,0,0,0,2,5,3,0,0,1,2,4,6,0.0,0.0
13,School Totals,21,71,15,35,6,36,10,13,15,19,10,5,1,12,18,58,0.14084507042253522,0.8333333333333334
