,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Notre Dame ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nyeshia Stevenson,45,.882,.850,.800,.400,0.0,3.1,1.5,12.5,2.6,0.0,14.5,15.1,155,101
1,Danielle Robinson,45,.334,.286,.000,.143,2.8,12.5,7.4,29.2,1.3,0.0,21.2,31.2,77,102
2,Amanda Thompson,42,.395,.375,.125,.063,11.9,23.4,17.3,22.7,2.8,3.9,10.8,21.7,100,92
3,Abi Olajuwon,35,.693,.692,.000,.231,25.0,28.1,26.5,7.0,0.0,2.3,12.3,23.1,133,99
4,Jasmine Hartman,32,.429,.429,.429,.000,3.9,13.2,8.3,25.9,1.8,0.0,30.0,15.5,87,101
6,Carlee Roethlisberger,16,.500,.500,.500,.000,0.0,26.4,12.4,0.0,3.7,0.0,0.0,6.2,112,94
7,Joanna McFarland,10,.000,.000,.000,.000,12.5,14.1,13.2,0.0,0.0,16.4,50.0,9.9,24,88
8,School Totals,225,.512,.479,.200,.157,38.9,81.3,58.8,70.0,9.1,9.1,17.5,100.0,100.0,93.5
