,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Oklahoma ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nyeshia Stevenson,45,6,10,.600,1,2,.500,5,8,.625,4,4,1.000,0,1,1,3,2,0,2,0,21
1,Danielle Robinson,45,6,21,.286,6,21,.286,0,0,,3,3,1.000,1,4,5,7,1,0,6,3,15
2,Amanda Thompson,42,6,16,.375,6,14,.429,0,2,.000,1,1,1.000,4,7,11,5,2,2,2,3,13
3,Abi Olajuwon,35,9,13,.692,9,13,.692,0,0,,2,3,.667,7,7,14,1,0,1,2,2,20
4,Jasmine Hartman,32,2,7,.286,0,4,.000,2,3,.667,0,0,,1,3,4,5,1,0,3,2,6
6,Carlee Roethlisberger,16,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,3,3,0,1,0,0,2,2
7,Joanna McFarland,10,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,0,2,1,2,0
8,School Totals,225,30,70,.429,23,56,.411,7,14,.500,10,11,.909,14,26,40,21,7,5,16,14,77
