,Troy ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiyah Johnson,3,11,2,3,1,8,1,1,3,4,1,0,1,2,4,8,0.09090909090909091,0.5
1,Janiah Sandifer,3,11,0,2,3,9,2,3,0,2,4,0,0,1,1,11,0.18181818181818182,4.0
2,Felmas Koranga,9,13,9,12,0,1,2,5,4,7,0,1,1,1,2,20,0.15384615384615385,0.0
3,Alexus Dye,12,22,12,22,0,0,2,2,3,8,0,3,1,4,5,26,0.09090909090909091,0.0
4,Jasmine Robinson,1,12,1,7,0,5,2,2,1,2,5,1,0,3,4,4,0.16666666666666666,1.6666666666666667
9,School Totals,32,77,28,54,4,23,12,17,16,27,12,5,4,18,25,80,0.15584415584415584,0.6666666666666666
