,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aaliyah Wilson,6,16,6,16,0,0,0,0,1,3,6,6,0,1,3,12,0.0,6.0
1,Jordan Nixon,6,10,4,6,2,4,7,8,0,4,2,1,0,7,2,21,0.7,0.2857142857142857
2,N'dea Jones,3,9,3,9,0,0,5,6,3,7,1,0,1,2,2,11,0.5555555555555556,0.5
3,Kayla Wells,4,11,3,9,1,2,0,0,1,0,0,0,0,0,1,9,0.0,0.0
4,Ciera Johnson,7,14,7,14,0,0,2,4,6,8,1,0,1,0,3,16,0.14285714285714285,0.0
9,School Totals,30,72,26,62,4,10,20,24,11,29,11,8,2,11,13,84,0.2777777777777778,1.0
