,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Felicia Chester,5,8,5,8,0,0,1,4,3,6,2,3,0,5,4,11,0.125,0.4
1,Sam Quigley,3,11,0,5,3,6,2,2,1,3,5,1,0,5,3,11,0.18181818181818182,1.0
2,Anna Martin,2,8,1,5,1,3,2,2,0,2,2,1,0,2,4,7,0.25,1.0
3,Katherine Harry,3,4,3,4,0,0,0,0,4,2,2,1,3,2,3,6,0.0,1.0
4,Keisha Hampton,3,10,1,4,2,6,3,4,0,5,1,1,1,5,5,11,0.3,0.2
8,School Totals,22,55,13,34,9,21,10,14,10,19,15,7,5,19,23,63,0.18181818181818182,0.7894736842105263
