,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Thomas,6,17,5,12,1,5,6,6,0,3,4,1,1,3,3,19,0.35294117647058826,1.3333333333333333
1,Karima Christmas,7,16,7,15,0,1,9,14,4,5,3,3,0,0,3,23,0.5625,0.0
2,Chelsea Gray,5,5,5,5,0,0,6,6,1,0,1,2,0,2,1,16,1.2,0.5
3,Krystal Thomas,0,2,0,2,0,0,0,2,1,4,0,1,1,2,2,0,0.0,0.0
4,Haley Peters,2,7,2,5,0,2,0,1,4,2,1,0,0,2,1,4,0.0,0.5
11,School Totals,24,62,23,52,1,10,21,29,16,20,14,11,2,13,16,70,0.3387096774193548,1.0769230769230769
