,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tori Lasker,4,8,1,2,3,6,2,2,0,3,2,0,0,3,1,13,0.25,0.6666666666666666
1,Terrion Moore,0,1,0,1,0,0,0,0,0,1,6,0,0,2,4,0,0.0,3.0
2,Monique Townson,1,8,1,6,0,2,0,0,0,1,0,2,0,2,2,2,0.0,0.0
3,Keanna Keys,2,5,2,5,0,0,7,8,0,3,0,0,0,5,4,11,1.4,0.0
4,Ronjanae DeGray,4,10,4,10,0,0,2,2,0,3,0,0,0,1,4,10,0.2,0.0
10,School Totals,17,47,14,36,3,11,12,14,2,15,8,2,0,16,22,49,0.2553191489361702,0.5
