,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Mitchell,6,12,5,9,1,3,5,6,1,2,5,1,0,5,2,18,0.4166666666666667,1.0
1,Aleighsa Welch,1,6,1,6,0,0,3,8,2,5,2,1,1,2,1,5,0.5,1.0
2,Asia Dozier,1,1,0,0,1,1,0,0,0,0,3,2,0,1,2,3,0.0,3.0
3,Elem Ibiam,1,1,1,1,0,0,0,0,0,2,0,0,1,1,3,2,0.0,0.0
4,Khadijah Sessions,0,2,0,1,0,1,0,0,2,1,2,0,0,1,1,0,0.0,2.0
10,School Totals,20,46,13,30,7,16,20,28,8,28,14,4,5,15,17,67,0.43478260869565216,0.9333333333333333
