,Central Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chelsie Wiley,4,10,3,6,1,4,2,2,0,0,0,0,0,3,4,11,0.2,0.0
1,Aisha Patrick,3,9,3,8,0,1,2,2,2,6,6,0,0,4,3,8,0.2222222222222222,1.5
2,D'Nay Daniels,5,13,4,10,1,3,5,6,5,5,1,0,0,3,2,16,0.38461538461538464,0.3333333333333333
3,Ashia Kelly,6,13,2,6,4,7,0,0,2,4,1,1,0,1,1,16,0.0,1.0
4,Jelisa Caldwell,3,6,3,5,0,1,2,2,2,4,1,0,0,1,3,8,0.3333333333333333,1.0
10,School Totals,25,63,17,44,8,19,11,12,13,23,10,6,0,18,19,69,0.1746031746031746,0.5555555555555556
