,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Standish,8,15,8,15,0,0,3,5,2,6,3,0,2,2,2,19,0.2,1.5
1,Haiden Palmer,5,13,3,7,2,6,3,4,4,4,2,0,2,3,1,15,0.23076923076923078,0.6666666666666666
2,Katelan Redmon,6,11,6,11,0,0,4,4,1,7,1,0,1,2,1,16,0.36363636363636365,0.5
3,Taelor Karr,1,6,0,2,1,4,1,4,0,4,5,0,1,1,1,4,0.16666666666666666,5.0
4,Kelly Bowen,1,5,0,1,1,4,0,0,1,4,1,1,0,2,2,3,0.0,0.5
9,School Totals,25,58,21,41,4,17,11,17,10,26,17,2,6,10,10,65,0.1896551724137931,1.7
