,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,5,13,5,13,0,0,6,9,1,10,5,1,0,4,2,16,0.46153846153846156,1.25
1,Lexie Brown,4,9,4,8,0,1,2,2,0,3,5,1,0,4,1,10,0.2222222222222222,1.25
2,Alicia DeVaughn,3,3,3,3,0,0,6,6,5,2,1,1,0,1,3,12,2.0,1.0
3,Brionna Jones,1,3,1,3,0,0,0,0,0,3,0,1,0,2,4,2,0.0,0.0
4,Katie Rutan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0.0,0.0
10,School Totals,25,58,23,51,2,7,17,22,11,25,17,5,1,15,18,69,0.29310344827586204,1.1333333333333333
