,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Thomas,7,13,4,7,3,6,1,2,0,1,5,2,0,1,2,18,0.07692307692307693,5.0
1,Krystal Thomas,4,7,4,7,0,0,0,0,2,2,5,3,0,0,0,8,0.0,0.0
2,Karima Christmas,3,5,3,4,0,1,2,3,4,3,2,0,0,2,2,8,0.4,1.0
3,Allison Vernerey,4,7,4,7,0,0,0,0,1,3,0,1,0,0,2,8,0.0,0.0
4,Shay Selby,2,5,1,2,1,3,0,0,1,0,4,0,0,0,0,5,0.0,0.0
11,School Totals,37,69,30,49,7,20,9,14,13,23,25,16,1,8,15,90,0.13043478260869565,3.125
