,Tennessee-Martin ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Heather Butler,6,21,5,10,1,11,2,2,0,1,2,0,0,6,2,15,0.09523809523809523,0.3333333333333333
1,Jasmine Newsome,2,7,2,7,0,0,5,7,0,2,3,1,0,9,3,9,0.7142857142857143,0.3333333333333333
2,Jaclissa Haislip,1,4,0,1,1,3,0,0,1,4,1,0,0,1,1,3,0.0,1.0
3,Alecia Weatherly,0,1,0,0,0,1,1,2,0,4,0,0,0,2,1,1,1.0,0.0
4,Beth Hawn,1,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,0.0,0.0
14,School Totals,15,43,11,26,4,17,11,17,6,18,8,3,0,22,15,45,0.2558139534883721,0.36363636363636365
