,Boise State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke Pahukoa,9,12,6,7,3,5,1,1,1,2,0,5,0,2,2,22,0.08333333333333333,0.0
1,Yaiza Rodrigeuz,0,7,0,2,0,5,0,0,0,2,10,0,0,7,0,0,0.0,1.4285714285714286
2,Deanna Weaver,4,12,1,5,3,7,2,2,0,1,2,0,1,0,1,13,0.16666666666666666,0.0
3,Miquelle Askew,3,7,3,7,0,0,2,2,0,0,1,0,0,1,0,8,0.2857142857142857,1.0
4,Camille Redmon,2,3,2,3,0,0,1,2,1,3,0,0,2,0,4,5,0.3333333333333333,0.0
10,School Totals,23,57,14,32,9,25,6,7,4,18,13,7,3,12,16,61,0.10526315789473684,1.0833333333333333
