,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelley Austria,4,11,1,5,3,6,6,6,0,4,3,0,3,3,4,17,0.5454545454545454,1.0
1,Ally Malott,9,13,6,9,3,4,7,7,0,13,2,0,0,6,3,28,0.5384615384615384,0.3333333333333333
2,Jodie Cornelie-Sigmundova,4,6,4,6,0,0,1,4,2,6,2,0,6,0,5,9,0.16666666666666666,0.0
3,Andrea Hoover,1,4,0,2,1,2,2,2,0,1,0,0,0,3,5,5,0.5,0.0
4,Jenna Burdette,3,5,3,4,0,1,1,1,0,2,2,1,0,5,5,7,0.2,0.4
9,School Totals,30,53,19,35,11,18,28,31,3,35,16,1,9,24,31,99,0.5283018867924528,0.6666666666666666
