,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Deja Kelly,9,18,8,16,1,2,4,4,0,5,3,2,1,4,4,23,0.2222222222222222,0.75
1,Alyssa Ustby,2,11,2,9,0,2,0,0,1,6,2,0,0,2,4,4,0.0,1.0
2,Carlie Littlefield,3,6,1,3,2,3,1,6,1,5,3,1,0,3,1,9,0.16666666666666666,1.0
3,Kennedy Todd-Williams,3,5,3,5,0,0,1,2,0,2,2,2,0,2,3,7,0.2,1.0
4,Anya Poole,2,2,2,2,0,0,0,0,0,2,0,1,0,0,4,4,0.0,0.0
8,School Totals,24,52,21,41,3,11,10,16,4,22,12,6,2,12,19,61,0.19230769230769232,1.0
