,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kierstan Bell,10,24,8,14,2,10,3,5,2,3,1,4,3,3,4,25,0.125,0.3333333333333333
1,Tishara Morehouse,7,13,5,9,2,4,1,2,2,2,2,1,0,0,2,17,0.07692307692307693,0.0
2,Tyra Cox,4,11,4,8,0,3,0,0,0,3,3,2,0,1,3,8,0.0,3.0
3,Alyssa Blair,0,4,0,0,0,4,0,0,0,1,0,0,0,1,3,0,0.0,0.0
4,Emma List,1,2,0,0,1,2,1,2,1,0,1,0,0,1,5,4,0.5,1.0
11,School Totals,26,61,17,32,9,29,5,11,5,14,8,8,3,9,21,66,0.08196721311475409,0.8888888888888888
