,Vermont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtnay Pilypaitis,8,14,7,10,1,4,8,9,0,8,4,3,1,2,1,25,0.5714285714285714,2.0
1,May Kotsopoulos,5,10,4,7,1,3,3,8,1,3,2,2,1,4,3,14,0.3,0.5
2,Kendra Seto,3,8,2,4,1,4,0,0,1,6,0,1,0,2,2,7,0.0,0.0
3,Alissa Sheftic,2,5,2,5,0,0,3,4,0,3,4,0,4,0,3,7,0.6,0.0
4,Sofia Iwobi,1,8,1,8,0,0,2,2,1,1,0,0,2,0,2,4,0.25,0.0
8,School Totals,21,52,18,41,3,11,19,27,4,27,14,8,10,11,13,64,0.36538461538461536,1.2727272727272727
