,Central Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond Battles,7,15,5,10,2,5,2,3,1,3,7,0,1,1,2,18,0.13333333333333333,7.0
1,Masseny Kaba,6,13,6,13,0,0,2,4,1,5,1,1,5,1,4,14,0.15384615384615385,1.0
2,Tay Sanders,1,9,1,9,0,0,2,2,1,2,6,1,0,1,1,4,0.2222222222222222,6.0
3,Shania Meertens,3,5,3,5,0,0,0,0,1,3,4,0,0,1,0,6,0.0,4.0
4,Destiny Thomas,0,0,0,0,0,0,0,0,1,6,0,1,3,0,4,0,0.0,0.0
8,School Totals,28,62,26,53,2,9,11,17,7,24,19,7,9,5,18,69,0.1774193548387097,3.8
