,Maine ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tanesha Sutton,5,12,3,6,2,6,4,4,0,0,3,2,1,1,1,16,0.3333333333333333,3.0
1,Blanca Millan,3,13,3,9,0,4,1,2,1,1,0,2,1,2,3,7,0.07692307692307693,0.0
2,Julie Brosseau,5,13,5,9,0,4,1,2,0,0,2,1,0,3,2,11,0.07692307692307693,0.6666666666666666
3,Fanny Wadling,3,5,3,5,0,0,0,0,0,3,0,1,0,1,1,6,0.0,0.0
4,Dor Saar,0,2,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0.0,0.5
13,School Totals,20,55,17,36,3,19,11,14,2,7,6,8,2,11,12,54,0.2,0.5454545454545454
