,Virginia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Georgia Amoore,4,8,2,4,2,4,2,2,0,3,5,1,0,3,4,12,0.25,1.6666666666666667
1,Aisha Sheppard,3,9,0,1,3,8,0,0,2,3,3,0,0,2,3,9,0.0,1.5
2,Elizabeth Kitley,16,27,16,27,0,0,10,14,5,3,1,0,1,1,2,42,0.37037037037037035,1.0
3,Kayana Traylor,2,5,2,4,0,1,1,2,0,3,2,0,0,1,2,5,0.2,2.0
4,Azana Baines,2,3,2,3,0,0,2,2,0,3,0,0,0,1,1,6,0.6666666666666666,0.0
8,School Totals,30,60,24,43,6,17,15,20,7,28,13,1,1,10,13,81,0.25,1.3
