,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erica Allenspach,2,8,2,4,0,4,7,8,0,6,5,1,1,0,3,11,0.875,0.0
1,Kate Oliver,7,14,6,11,1,3,1,2,0,5,0,2,3,1,2,16,0.07142857142857142,0.0
2,Brandy Gang,4,6,1,2,3,4,2,4,0,2,1,0,0,1,4,13,0.3333333333333333,1.0
3,Elise Caron,3,6,0,2,3,4,3,4,2,1,5,0,0,2,4,12,0.5,2.5
4,Corielle Yarde,4,11,3,6,1,5,3,5,1,4,8,2,0,2,3,12,0.2727272727272727,4.0
10,School Totals,24,55,14,28,10,27,16,23,3,24,21,8,4,7,22,74,0.2909090909090909,3.0
