,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Charisma Osborne,6,10,6,8,0,2,3,3,4,6,4,0,0,0,1,15,0.3,0.0
1,Natalie Chou,6,13,3,8,3,5,0,0,3,3,1,1,1,0,2,15,0.0,0.0
2,Michaela Onyenwere,9,17,8,13,1,4,6,6,3,4,2,2,1,3,4,25,0.35294117647058826,0.6666666666666666
3,Lindsey Corsaro,1,5,1,4,0,1,2,2,0,1,3,0,0,0,2,4,0.4,0.0
4,Lauryn Miller,3,9,3,9,0,0,0,0,2,5,0,1,0,1,4,6,0.0,0.0
8,School Totals,26,61,22,44,4,17,13,17,17,25,11,5,3,6,18,69,0.21311475409836064,1.8333333333333333
