,Kansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ioanna Chatzileonti,6,11,5,10,1,1,2,4,4,6,1,1,1,0,1,15,0.18181818181818182,0.0
1,Holly Kersgieter,6,13,3,9,3,4,4,5,1,4,2,2,1,2,2,19,0.3076923076923077,1.0
2,Zakiyah Franklin,3,9,2,7,1,2,1,2,1,3,3,0,0,1,2,8,0.1111111111111111,3.0
3,Taiyanna Jackson,7,10,7,10,0,0,0,0,3,4,1,0,2,3,3,14,0.0,0.3333333333333333
4,Julie Brosseau,1,5,1,3,0,2,0,0,0,1,1,0,0,0,0,2,0.0,0.0
10,School Totals,30,62,25,48,5,14,12,17,9,28,13,5,6,9,15,77,0.1935483870967742,1.4444444444444444
