,Virginia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Georgia Amoore,6,17,2,8,4,9,2,2,0,2,4,1,0,5,3,18,0.11764705882352941,0.8
1,Elizabeth Kitley,2,12,2,12,0,0,2,2,2,4,1,1,0,2,4,6,0.16666666666666666,0.5
2,Aisha Sheppard,5,11,3,4,2,7,3,4,0,3,1,2,0,2,4,15,0.2727272727272727,0.5
3,Cayla King,2,5,0,0,2,5,0,0,0,2,0,0,0,2,3,6,0.0,0.0
4,Azana Baines,0,5,0,5,0,0,0,0,2,2,3,0,0,2,4,0,0.0,1.5
8,School Totals,16,53,7,29,9,24,7,8,4,17,11,5,0,16,23,48,0.1320754716981132,0.6875
