,Drake ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caitlin Ingle,2,4,2,4,0,0,0,0,0,2,7,2,0,4,1,4,0.0,1.75
1,Lizzy Wendell,5,14,3,6,2,8,5,8,1,2,4,4,0,4,3,17,0.35714285714285715,1.0
2,Sammie Bachrodt,4,10,2,6,2,4,0,0,1,4,0,2,1,3,1,10,0.0,0.0
3,Becca Hittner,4,11,3,7,1,4,4,6,2,1,1,2,0,1,3,13,0.36363636363636365,1.0
4,Becca Jonas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
10,School Totals,19,52,12,28,7,24,9,14,8,15,14,13,1,16,13,54,0.17307692307692307,0.875
