,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kindred Wesemann,5,14,1,2,4,12,2,2,0,2,5,2,1,3,1,16,0.14285714285714285,1.6666666666666667
1,Breanna Lewis,11,17,11,17,0,0,1,2,4,7,2,1,0,2,2,23,0.058823529411764705,1.0
2,Karyla Middlebrook,3,7,2,5,1,2,1,2,3,1,7,4,0,3,3,8,0.14285714285714285,2.3333333333333335
3,Kayla Goth,0,3,0,2,0,1,0,0,0,1,2,0,0,2,0,0,0.0,1.0
4,Peyton Williams,2,3,2,3,0,0,0,0,2,0,0,0,0,1,0,4,0.0,0.0
11,School Totals,26,55,18,34,8,21,7,10,12,25,21,11,5,18,11,67,0.12727272727272726,1.1666666666666667
