,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Duke ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Allison Hightower,40,.504,.406,.125,.375,4.0,6.9,5.6,14.3,0.0,0.0,17.7,30.4,91,98
1,Katherine Graham,40,.432,.333,.000,.333,4.0,10.3,7.4,5.6,5.8,2.4,42.1,16.0,56,83
2,Destini Hughes,40,.400,.400,.400,.000,0.0,6.9,3.7,33.3,2.9,0.0,54.5,14.8,54,92
3,LaSondra Barrett,31,.463,.417,.083,.167,5.2,8.9,7.2,28.6,0.0,0.0,23.7,29.3,79,97
4,Courtney Jones,31,.688,.688,.250,.000,5.2,35.6,21.5,9.5,3.7,3.1,20.0,17.3,105,78
6,Taylor Turnbow,16,.000,.000,.000,.000,10.0,17.2,13.9,0.0,3.6,6.0,50.0,6.7,23,83
7,Jasmine Nelson,2,,,,,0.0,0.0,0.0,0.0,0.0,47.6,,0.0,,77
8,School Totals,200,.493,.438,.146,.208,20.0,65.5,44.4,65.0,13.0,9.5,29.4,100.0,75.4,87.0
