,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jasmine Thomas,36,.419,.344,.250,.250,0.0,22.2,10.3,6.4,4.8,0.0,18.4,31.0,82,75
1,Joy Cheek,32,.503,.429,.286,.286,8.6,15.0,11.6,6.5,1.8,3.0,38.8,20.6,73,81
2,Karima Christmas,31,.537,.333,.167,.833,8.9,20.6,14.3,6.3,1.9,0.0,19.6,16.9,108,82
3,Keturah Jackson,31,.800,.800,.000,.000,8.9,0.0,4.8,7.2,5.6,0.0,0.0,8.3,174,78
4,Krystal Thomas,22,.678,.667,.000,1.000,12.5,7.3,10.1,9.4,2.6,8.9,48.1,19.4,81,76
6,Bridgette Mitchell,27,.545,.545,.273,.000,10.2,23.7,16.5,0.0,6.4,0.0,21.4,26.6,95,71
7,Allison Vernerey,15,.202,.250,.000,.500,0.0,21.3,9.9,0.0,0.0,0.0,0.0,16.7,50,86
8,Shay Selby,6,,,,,0.0,26.7,12.3,0.0,9.6,0.0,100.0,8.5,0,63
9,School Totals,200,.503,.452,.192,.308,34.5,80.0,55.6,21.7,18.8,7.3,24.2,100.0,87.0,75.4
