,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Celeste Taylor,6,16,4,13,2,3,1,2,4,7,4,1,0,1,2,15,0.0625,4.0
1,Joanne Allen-Taylor,4,11,1,4,3,7,3,3,0,1,5,2,0,0,3,14,0.2727272727272727,0.0
2,Kyra Lambert,4,9,3,5,1,4,1,3,0,1,1,0,0,3,2,10,0.1111111111111111,0.3333333333333333
3,Charli Collier,6,11,6,11,0,0,4,5,4,7,0,1,1,1,2,16,0.36363636363636365,0.0
4,Audrey Warren,4,9,4,8,0,1,0,0,1,3,0,1,0,2,3,8,0.0,0.0
8,School Totals,24,58,18,43,6,15,10,15,10,24,11,6,1,8,12,64,0.1724137931034483,1.375
