,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Julie Wojta,7,10,7,10,0,0,4,5,0,3,2,3,0,2,3,18,0.4,1.0
1,Celeste Hoewisch,5,10,4,8,1,2,3,6,0,2,2,4,0,6,3,14,0.3,0.3333333333333333
2,Kayla Tetschlag,2,9,2,8,0,1,6,6,1,11,4,0,1,4,2,10,0.6666666666666666,1.0
3,Sarah Eichler,1,3,1,3,0,0,1,2,0,1,3,1,0,3,2,3,0.3333333333333333,1.0
4,Hannah Quilling,0,2,0,2,0,0,0,0,0,1,0,3,0,3,2,0,0.0,0.0
11,School Totals,21,44,16,36,5,8,18,25,2,18,14,13,2,19,15,65,0.4090909090909091,0.7368421052631579
