,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Teaira McCowan,7,15,7,15,0,0,9,11,8,13,1,0,4,1,2,23,0.6,1.0
1,Roshunda Johnson,3,8,1,5,2,3,4,4,0,2,5,1,0,2,4,12,0.5,2.5
2,Victoria Vivians,10,17,9,13,1,4,3,5,1,3,0,0,1,2,3,24,0.17647058823529413,0.0
3,Blair Schaefer,3,4,0,1,3,3,0,0,0,3,2,0,1,1,3,9,0.0,2.0
4,Morgan William,4,9,2,6,2,3,7,7,1,4,5,2,0,3,0,17,0.7777777777777778,1.6666666666666667
11,School Totals,29,58,21,45,8,13,23,27,11,26,15,4,6,10,14,89,0.39655172413793105,1.5
