,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Skylar Diggins,8,17,7,15,1,2,2,2,2,2,4,3,2,4,3,19,0.11764705882352941,1.0
1,Brittany Mallory,4,9,2,3,2,6,1,2,1,3,5,4,1,1,2,11,0.1111111111111111,5.0
2,Devereaux Peters,6,10,6,10,0,0,5,8,4,8,2,2,4,2,3,17,0.5,1.0
3,Natalie Novosel,5,19,3,14,2,5,8,11,5,2,4,1,0,3,2,20,0.42105263157894735,1.3333333333333333
4,Kayla McBride,2,12,2,11,0,1,4,4,2,4,1,1,0,3,3,8,0.3333333333333333,0.3333333333333333
6,School Totals,29,72,24,58,5,14,20,27,17,23,16,14,7,16,14,83,0.2777777777777778,1.0
