,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Stefanie Dolson,5,6,5,6,0,0,3,4,5,3,5,0,3,4,3,13,0.5,1.25
1,Tiffany Hayes,6,11,5,8,1,3,9,11,4,4,2,3,0,3,3,22,0.8181818181818182,0.6666666666666666
2,Bria Hartley,2,6,2,4,0,2,9,10,0,3,3,2,0,4,3,13,1.5,0.75
3,Caroline Doty,1,3,0,0,1,3,0,0,1,5,4,1,0,1,2,3,0.0,4.0
4,Kelly Faris,4,5,4,5,0,0,3,4,0,2,5,0,0,2,5,11,0.6,2.5
8,School Totals,23,45,19,30,4,15,30,35,12,25,21,7,3,16,19,80,0.6666666666666666,1.3125
