,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Terrion Moore,4,12,3,8,1,4,4,6,0,1,4,2,0,2,3,13,0.3333333333333333,2.0
1,Raeyana DeGray,3,5,3,5,0,0,0,0,1,5,1,1,0,0,2,6,0.0,0.0
2,Ronjanae DeGray,3,12,3,11,0,1,0,0,5,2,2,2,0,1,2,6,0.0,2.0
3,Tori Lasker,6,11,2,2,4,9,0,0,0,2,3,3,0,5,1,16,0.0,0.6
4,Kyra Collier,3,14,3,10,0,4,0,0,1,2,0,2,0,3,2,6,0.0,0.0
8,School Totals,20,61,14,41,6,20,5,8,8,16,10,10,0,12,13,51,0.08196721311475409,0.8333333333333334
