,Vanderbilt ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Lister,3,9,0,3,3,6,4,4,0,1,1,1,0,2,1,13,0.4444444444444444,0.5
1,Jence Rhoads,3,10,3,10,0,0,0,0,2,2,6,0,0,2,0,6,0.0,3.0
2,Elan Brown,3,7,1,2,2,5,0,0,1,1,1,5,1,2,2,8,0.0,0.5
3,Hannah Tuomi,2,2,2,2,0,0,0,0,0,0,2,0,0,3,3,4,0.0,0.6666666666666666
4,Tiffany Clarke,2,5,2,5,0,0,0,0,0,2,0,0,1,2,2,4,0.0,0.0
9,School Totals,25,57,18,39,7,18,5,6,6,10,15,12,3,14,15,62,0.08771929824561403,1.0714285714285714
