,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelsey Griffin,25,.585,.467,.000,.533,21.3,20.0,20.6,32.4,4.4,0.0,5.1,38.1,136,58
1,Lindsey Moore,24,.840,.800,.800,.400,0.0,8.3,4.8,39.7,4.6,0.0,0.0,12.0,190,64
2,Cory Montgomery,23,.534,.500,.286,.429,11.6,8.7,9.9,41.8,2.4,0.0,26.5,24.0,105,68
3,Yvonne Turner,23,.500,.500,1.000,.000,0.0,4.3,2.5,15.4,4.8,0.0,0.0,12.7,120,65
4,Dominique Kelley,20,.502,.450,.200,.200,0.0,20.0,11.4,22.2,2.8,0.0,15.5,31.4,95,62
6,Kala Kuhlmann,18,.505,.375,.500,.500,0.0,5.6,3.2,9.3,0.0,0.0,0.0,13.2,126,75
7,Nicole Neals,18,.625,.625,.500,.000,7.4,0.0,3.2,10.3,6.1,0.0,33.3,16.3,89,64
8,Catheryn Redmon,18,.408,.333,.000,1.333,14.8,61.1,41.3,0.0,0.0,19.0,17.4,15.6,91,38
9,Layne Reeves,12,.750,.750,.500,.000,0.0,0.0,0.0,14.7,0.0,0.0,0.0,8.1,161,78
10,Jessica Periago,10,.000,.000,.000,.000,0.0,20.0,11.4,0.0,0.0,0.0,0.0,4.9,0,68
11,Harleen Sidhu,5,1.250,1.250,.500,.000,0.0,60.0,34.3,0.0,0.0,0.0,0.0,19.5,250,48
12,Meghin Williams,4,.385,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,21.0,58.0,72,78
13,School Totals,200,.569,.508,.328,.410,30.0,77.5,57.1,76.9,13.7,8.6,12.1,100.0,113.7,60.3
