,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Goth,3,8,3,7,0,1,2,5,0,2,6,3,0,5,0,8,0.25,1.2
1,Peyton Williams,1,6,1,3,0,3,1,4,3,1,2,6,1,2,1,3,0.16666666666666666,1.0
2,Christianna Carr,8,20,5,11,3,9,2,2,0,3,0,3,1,3,2,21,0.1,0.0
3,Rachel Ranke,4,10,1,3,3,7,0,0,1,2,0,0,0,4,0,11,0.0,0.0
4,Kali Jones,1,2,1,2,0,0,0,0,1,2,1,2,0,0,2,2,0.0,0.0
10,School Totals,20,55,13,33,7,22,7,17,6,13,11,15,4,17,11,54,0.12727272727272726,0.6470588235294118
