,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shekinna Stricklen,6,14,5,10,1,4,0,0,3,3,1,0,0,0,1,13,0.0,0.0
1,Taber Spani,4,9,1,3,3,6,2,2,3,4,1,0,0,2,2,13,0.2222222222222222,0.5
2,Glory Johnson,4,9,4,9,0,0,4,6,8,6,2,3,0,1,5,12,0.4444444444444444,2.0
3,Meighan Simmons,1,11,1,6,0,5,0,0,0,1,1,1,0,4,3,2,0.0,0.25
4,Alyssia Brewer,0,2,0,2,0,0,0,0,1,2,1,0,0,2,1,0,0.0,0.5
11,School Totals,22,67,18,48,4,19,11,17,19,24,11,8,0,19,20,59,0.16417910447761194,0.5789473684210527
