,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Florida ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kayla Lewis,33,8,12,.667,8,12,.667,0,0,,4,5,.800,1,8,9,0,1,1,1,1,20
1,Jaterra Bonds,33,6,9,.667,6,9,.667,0,0,,2,5,.400,1,2,3,1,3,0,3,4,14
2,Carlie Needles,33,4,12,.333,0,1,.000,4,11,.364,1,1,1.000,1,0,1,2,1,0,1,3,13
3,Cassie Peoples,30,1,7,.143,1,2,.500,0,5,.000,2,4,.500,0,0,0,3,1,0,5,0,4
4,Ronni Williams,24,0,3,.000,0,3,.000,0,0,,0,0,,1,4,5,3,1,1,4,4,0
6,Lily Svete,17,0,1,.000,0,0,,0,1,.000,0,0,,1,1,2,1,0,0,1,3,0
7,January Miller,16,2,3,.667,1,1,1.000,1,2,.500,0,0,,1,1,2,0,0,0,1,2,5
8,Antoinette Bannister,14,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,0,0,1,1,0,2,1,5
9,School Totals,200,23,50,.460,17,29,.586,6,21,.286,9,15,.600,6,16,22,11,8,2,18,18,61
