,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keyanna Harris,3,8,3,8,0,0,2,6,3,5,6,2,0,0,5,8,0.25,0.0
1,Emese Hof,6,11,6,11,0,0,4,6,3,4,2,3,1,4,4,16,0.36363636363636365,0.5
2,Endia Banks,7,10,6,8,1,2,0,0,1,9,0,0,1,2,4,15,0.0,0.0
3,Erykah Davenport,8,10,8,10,0,0,5,8,7,2,0,0,1,2,3,21,0.5,0.0
4,Mykea Gray,2,10,1,7,1,3,5,8,0,2,2,1,0,4,4,10,0.5,0.5
10,School Totals,27,60,25,53,2,7,16,28,16,23,11,7,3,16,25,72,0.26666666666666666,0.6875
