,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nerea Hermosa,3,12,3,12,0,0,1,2,0,3,0,0,3,1,1,7,0.08333333333333333,0.0
1,Digna Strautmane,8,11,6,7,2,4,0,0,3,3,1,4,2,3,2,18,0.0,0.3333333333333333
2,Lorela Cubaj,4,9,4,8,0,1,0,0,1,10,3,0,1,2,2,8,0.0,1.5
3,Lotta-Maj Lahtinen,3,12,2,6,1,6,0,0,0,2,4,1,0,2,3,7,0.0,2.0
4,Eylia Love,2,9,1,6,1,3,2,4,0,3,1,0,0,4,4,7,0.2222222222222222,0.25
9,School Totals,24,62,17,41,7,21,3,6,6,21,11,5,6,13,14,58,0.04838709677419355,0.8461538461538461
