,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ariadna Pujol,6,12,3,7,3,5,5,7,2,3,1,2,0,1,4,20,0.4166666666666667,1.0
1,Laia Flores,4,9,1,5,3,4,0,0,0,4,8,2,1,4,3,11,0.0,2.0
2,Maria Jespersen,2,10,2,9,0,1,5,6,9,8,1,0,1,4,3,9,0.5,0.25
3,Kitija Laksa,6,18,4,11,2,7,5,7,0,1,0,1,0,2,4,19,0.2777777777777778,0.0
4,Tamara Henshaw,2,3,2,3,0,0,1,2,1,2,1,0,0,0,3,5,0.3333333333333333,0.0
6,School Totals,20,53,12,36,8,17,16,22,12,18,11,5,2,11,17,64,0.3018867924528302,1.0
