,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Peterson,9,16,7,11,2,5,6,8,3,1,3,0,0,1,0,26,0.375,3.0
1,Brianna Butler,7,16,3,6,4,10,0,0,1,2,1,0,0,0,0,18,0.0,0.0
2,Brittney Sykes,7,18,7,15,0,3,3,4,5,4,0,1,0,2,4,17,0.16666666666666666,0.0
3,Briana Day,2,12,2,12,0,0,3,6,9,4,0,0,1,2,5,7,0.25,0.0
4,Isabella Slim,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
9,School Totals,29,76,21,53,8,23,14,21,22,19,7,5,3,10,15,80,0.18421052631578946,0.7
