,Cal State Northridge ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Janae Sharpe,9,20,6,14,3,6,5,7,0,6,3,0,0,2,5,26,0.25,1.5
1,Cinnamon Lister,3,9,3,9,0,0,3,4,0,3,4,0,0,1,4,9,0.3333333333333333,4.0
2,Ashlee Guay,2,9,0,5,2,4,0,0,2,0,1,1,0,2,2,6,0.0,0.5
3,Camille Mahlknecht,2,10,2,10,0,0,0,0,2,3,0,0,4,0,5,4,0.0,0.0
4,Randi Friess,0,3,0,1,0,2,0,0,1,1,0,1,0,0,1,0,0.0,0.0
11,School Totals,21,68,16,53,5,15,11,15,9,20,8,3,4,5,28,58,0.16176470588235295,1.6
