,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Mitchell,5,11,4,9,1,2,13,17,0,6,4,0,0,3,2,24,1.1818181818181819,1.3333333333333333
1,Khadijah Sessions,1,3,1,2,0,1,4,4,0,1,3,0,0,1,4,6,1.3333333333333333,3.0
2,Aleighsa Welch,5,11,5,11,0,0,1,2,4,5,2,0,3,2,1,11,0.09090909090909091,1.0
3,Asia Dozier,1,4,1,1,0,3,1,2,0,4,3,1,0,2,3,3,0.25,1.5
4,Elem Ibiam,4,6,4,6,0,0,3,4,2,2,2,0,1,2,2,11,0.5,1.0
12,School Totals,22,50,20,41,2,9,27,42,13,36,17,1,8,11,16,73,0.54,1.5454545454545454
