,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jailin Cherry,12,23,12,22,0,1,0,0,1,2,2,1,2,1,2,24,0.0,2.0
1,Khayla Pointer,8,20,6,15,2,5,8,13,1,8,8,4,0,3,4,26,0.4,2.6666666666666665
2,Faustine Aifuwa,7,15,7,15,0,0,3,6,5,9,0,1,7,1,3,17,0.2,0.0
3,Ryann Payne,2,8,2,6,0,2,0,1,0,0,5,1,0,1,5,4,0.0,5.0
4,Autumn Newby,0,3,0,3,0,0,0,0,1,5,1,2,0,2,3,0,0.0,0.5
8,School Totals,30,74,28,65,2,9,21,31,9,28,18,10,9,11,20,83,0.28378378378378377,1.6363636363636365
