,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tori Jankoska,4,11,3,6,1,5,5,6,0,5,4,2,0,5,2,14,0.45454545454545453,0.8
1,Annalise Pickrel,2,7,1,3,1,4,0,0,1,3,3,1,1,3,0,5,0.0,1.0
2,Klarissa Bell,1,2,1,1,0,1,0,0,0,3,1,2,0,4,1,2,0.0,0.25
3,Becca Mills,2,11,1,9,1,2,0,0,4,4,2,0,0,1,3,5,0.0,2.0
4,Aerial Powers,0,5,0,4,0,1,2,4,1,1,0,0,0,4,3,2,0.4,0.0
8,School Totals,17,54,13,38,4,16,15,22,11,27,11,8,6,22,13,53,0.2777777777777778,0.5
