,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Stanford ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Amber Harris,38,.557,.588,.000,.118,8.1,12.8,10.2,8.4,1.6,5.4,18.3,30.0,93,86
1,Special Jennings,38,.314,.286,.286,.286,0.0,6.4,2.9,15.1,3.1,0.0,20.2,13.5,64,88
2,Tyeasha Moss,31,.250,.250,.700,.000,3.3,15.6,9.0,6.3,1.9,0.0,0.0,16.8,65,87
3,April Phillips,27,.657,.667,.000,.833,7.6,18.0,12.3,34.7,0.0,0.0,19.6,19.7,119,90
4,Ta'Shia Phillips,24,.333,.333,.000,.000,12.8,25.3,18.5,0.0,2.5,0.0,50.0,13.0,50,81
6,Dee Dee Jernigan,23,.358,.308,.154,.154,4.5,15.8,9.7,21.7,7.8,0.0,6.7,33.7,81,73
7,Katie Rutan,17,.000,.000,.750,.000,0.0,14.3,6.5,0.0,0.0,0.0,0.0,12.2,0,92
8,Alesia Barringer,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,98
9,School Totals,200,.406,.392,.233,.183,25.6,72.7,47.2,47.8,11.9,5.1,15.5,100.0,79.1,82.1
