,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rosemarie Julien,3,11,2,4,1,7,0,1,1,0,3,2,0,0,3,7,0.0,0.0
1,Taylor Gradinjan,2,5,1,2,1,3,0,0,0,3,3,1,0,4,2,5,0.0,0.75
2,Nasrin Ulel,3,8,1,4,2,4,2,2,1,2,1,2,0,1,3,10,0.25,1.0
3,Erica Nelson,3,7,0,0,3,7,0,0,0,0,3,0,1,3,4,9,0.0,1.0
4,Tytionia Adderly,0,5,0,1,0,4,0,0,1,2,2,0,0,0,3,0,0.0,0.0
12,School Totals,24,65,7,18,17,47,5,6,3,10,18,6,1,10,22,70,0.07692307692307693,1.8
