,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Bolte,6,20,4,11,2,9,4,5,0,7,5,1,0,2,4,18,0.2,2.5
1,Lauren Mansfield,0,4,0,2,0,2,2,2,0,1,2,1,0,2,4,2,0.5,1.0
2,Anna Prins,6,13,4,9,2,4,11,14,3,8,0,0,0,5,4,25,0.8461538461538461,0.0
3,Chelsea Poppens,2,8,2,7,0,1,3,6,9,3,1,0,0,5,0,7,0.375,0.2
4,Jessica Schroll,1,3,1,2,0,1,0,1,1,2,1,0,0,2,2,2,0.0,0.5
10,School Totals,19,55,14,36,5,19,21,29,15,27,12,3,0,17,20,64,0.38181818181818183,0.7058823529411765
