,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristin Daugherty,7,16,3,8,4,8,0,0,1,4,1,0,0,4,2,18,0.0,0.25
1,Patrice Lalor,8,17,6,12,2,5,0,0,0,2,11,2,0,4,2,18,0.0,2.75
2,Casey Nance,2,2,2,2,0,0,0,2,1,4,1,0,0,2,2,4,0.0,0.5
3,Justine Raterman,1,6,0,3,1,3,0,0,0,6,1,0,0,0,0,3,0.0,0.0
4,Elle Queen,1,3,1,3,0,0,0,0,2,3,0,1,0,1,2,2,0.0,0.0
12,School Totals,27,64,17,41,10,23,2,5,7,25,16,3,0,22,17,66,0.03125,0.7272727272727273
