,Penn State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alex Bentley,12,28,11,24,1,4,0,0,0,0,4,1,0,3,2,25,0.0,1.3333333333333333
1,Julia Trogele,3,9,3,9,0,0,3,4,3,4,2,3,0,1,3,9,0.3333333333333333,2.0
2,Mia Nickson,4,6,4,6,0,0,6,6,2,8,0,1,0,2,1,14,1.0,0.0
3,Nikki Greene,1,4,1,4,0,0,3,4,4,4,0,1,2,3,2,5,0.75,0.0
4,Zhaque Gray,1,5,1,3,0,2,0,0,0,2,1,0,0,0,0,2,0.0,0.0
9,School Totals,27,66,24,54,3,12,18,21,12,27,10,10,3,13,9,75,0.2727272727272727,0.7692307692307693
