,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Gassion,7,12,7,10,0,2,3,4,0,3,8,1,1,2,1,17,0.25,4.0
1,Tyra Buss,3,16,1,10,2,6,2,2,0,2,5,2,0,5,3,10,0.125,1.0
2,Amanda Cahill,4,7,3,5,1,2,1,2,1,4,3,1,1,5,4,10,0.14285714285714285,0.6
3,Karlee McBride,6,10,2,4,4,6,1,1,1,1,0,1,0,2,3,17,0.1,0.0
4,Jenn Anderson,2,4,2,4,0,0,0,0,2,3,0,1,0,2,5,4,0.0,0.0
9,School Totals,27,57,20,41,7,16,9,11,9,18,16,8,3,18,21,70,0.15789473684210525,0.8888888888888888
