,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Cable,5,10,3,5,2,5,4,4,1,4,0,1,0,3,0,16,0.4,0.0
1,Lindsay Allen,10,13,10,13,0,0,2,2,0,2,7,5,1,2,3,22,0.15384615384615385,3.5
2,Brianna Turner,8,17,8,17,0,0,2,3,3,7,3,0,3,1,3,18,0.11764705882352941,3.0
3,Kathryn Westbeld,1,2,1,2,0,0,0,0,1,3,2,1,1,0,1,2,0.0,0.0
4,Michaela Mabrey,1,4,0,2,1,2,0,0,0,0,0,1,0,1,1,3,0.0,0.0
10,School Totals,34,62,30,52,4,10,15,18,9,18,18,10,5,12,14,87,0.24193548387096775,1.5
