,Central Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tay Sanders,4,11,3,9,1,2,0,0,0,6,1,2,0,1,1,9,0.0,1.0
1,Alisha Lewis,2,7,1,4,1,3,0,0,0,3,0,0,0,3,5,5,0.0,0.0
2,Masseny Kaba,5,11,5,11,0,0,4,8,9,4,5,0,0,3,5,14,0.36363636363636365,1.6666666666666667
3,Brittney Smith,5,10,5,10,0,0,0,0,0,3,1,2,0,3,4,10,0.0,0.3333333333333333
4,Diamond Battles,2,4,1,3,1,1,1,2,0,1,1,0,0,4,1,6,0.25,0.25
11,School Totals,21,57,18,44,3,13,6,12,13,22,10,5,2,19,22,51,0.10526315789473684,0.5263157894736842
