,Georgetown ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sugar Rodgers,8,18,4,9,4,9,6,6,3,5,4,3,0,0,2,26,0.3333333333333333,0.0
1,Latia Magee,5,9,4,8,1,1,3,6,2,2,0,0,0,2,1,14,0.3333333333333333,0.0
2,Rubylee Wright,4,8,2,4,2,4,1,1,0,1,1,0,0,2,2,11,0.125,0.5
3,Monica McNutt,1,5,0,1,1,4,0,0,0,3,1,1,0,0,2,3,0.0,0.0
4,Adria Crawford,4,7,4,7,0,0,1,2,2,2,1,1,0,0,3,9,0.14285714285714285,0.0
11,School Totals,23,57,15,36,8,21,11,15,12,18,9,5,5,8,15,65,0.19298245614035087,1.125
