,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aari McDonald,12,21,6,9,6,12,1,3,0,5,1,2,0,2,2,31,0.047619047619047616,0.5
1,Sam Thomas,3,6,0,0,3,6,0,0,0,0,4,5,2,1,0,9,0.0,4.0
2,Trinity Baptiste,3,8,3,8,0,0,1,1,1,6,2,1,0,1,2,7,0.125,2.0
3,Cate Reese,3,9,1,5,2,4,0,0,2,7,2,1,0,1,3,8,0.0,2.0
4,Bendu Yeaney,3,8,2,5,1,3,0,0,0,2,4,2,0,0,3,7,0.0,0.0
8,School Totals,28,61,15,32,13,29,5,12,4,22,16,13,3,7,12,74,0.08196721311475409,2.2857142857142856
