,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paige Bueckers,6,13,5,10,1,3,1,2,0,6,2,1,1,1,1,14,0.07692307692307693,2.0
1,Aaliyah Edwards,4,9,4,9,0,0,0,0,1,1,2,0,1,2,3,8,0.0,1.0
2,Olivia Nelson-Ododa,2,2,2,2,0,0,0,0,2,0,1,2,1,3,4,4,0.0,0.3333333333333333
3,Christyn Williams,1,7,1,4,0,3,0,0,0,1,3,0,0,0,3,2,0.0,0.0
4,Azzi Fudd,1,3,0,1,1,2,0,0,0,1,0,0,1,1,0,3,0.0,0.0
9,School Totals,22,54,18,38,4,16,1,4,3,16,14,4,5,14,21,49,0.018518518518518517,1.0
