,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destanni Henderson,9,20,6,14,3,6,5,6,1,1,4,3,0,2,1,26,0.25,2.0
1,Aliyah Boston,3,8,3,8,0,0,5,8,5,11,3,0,2,3,2,11,0.625,1.0
2,Zia Cooke,5,13,5,9,0,4,1,2,0,5,0,0,0,1,1,11,0.07692307692307693,0.0
3,Brea Beal,1,7,1,5,0,2,0,0,2,2,1,0,1,2,4,2,0.0,0.5
4,Victaria Saxton,1,1,1,1,0,0,4,6,5,0,0,2,1,2,2,6,4.0,0.0
15,School Totals,22,60,19,44,3,16,17,26,18,23,9,6,4,14,11,64,0.2833333333333333,0.6428571428571429
