,Quinnipiac ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paula Strautmane,4,8,3,6,1,2,2,2,2,9,7,2,1,3,3,11,0.25,2.3333333333333335
1,Adily Martucci,3,8,0,4,3,4,0,0,0,1,2,0,0,2,4,9,0.0,1.0
2,Aryn McClure,5,8,5,8,0,0,5,6,1,3,3,0,1,5,4,15,0.625,0.6
3,Jen Fay,3,8,2,5,1,3,2,4,0,3,1,2,0,0,4,9,0.25,0.0
4,Edel Thornton,0,2,0,1,0,1,0,0,0,0,3,0,0,2,0,0,0.0,1.5
9,School Totals,28,60,13,34,15,26,14,20,7,23,24,6,5,13,23,85,0.23333333333333334,1.8461538461538463
