,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jessica Thomas,8,18,5,14,3,4,6,8,0,1,4,2,0,1,2,25,0.3333333333333333,4.0
1,Adrienne Motley,2,10,2,7,0,3,5,8,1,3,3,2,2,1,1,9,0.5,3.0
2,Keyona Hayes,8,12,8,11,0,1,5,6,4,4,4,1,0,2,3,21,0.4166666666666667,2.0
3,Keyanna Harris,4,5,2,3,2,2,0,1,1,4,0,2,1,1,5,10,0.0,0.0
4,Erykah Davenport,2,6,2,6,0,0,1,2,3,5,0,0,1,1,2,5,0.16666666666666666,0.0
9,School Totals,27,64,22,53,5,11,19,27,10,22,14,8,5,11,20,78,0.296875,1.2727272727272727
