,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kristen McCarthy,37,.538,.538,.385,.154,3.3,9.3,6.4,0.0,0.0,2.6,22.4,23.9,87,87
1,LaKeisha Eaddy,35,.470,.433,.333,.133,0.0,13.1,6.7,20.0,9.7,5.6,27.4,30.9,78,62
2,Jasmine Stone,33,.289,.250,.000,.625,14.7,27.7,21.4,28.1,3.4,8.9,16.4,18.2,85,64
3,Marli Bennett,28,.606,.625,.250,.500,13.0,8.2,10.5,0.0,0.0,0.0,29.1,12.1,99,88
4,Kristie Watkins-Day,15,.000,.000,.000,.000,8.1,0.0,3.9,11.1,3.8,0.0,50.0,6.6,46,86
6,Qwedia Wallace,27,.730,.667,.333,.417,0.0,8.5,4.4,21.7,0.0,0.0,0.0,26.0,162,88
7,Natasha Thames,12,1.000,1.000,.000,.000,10.1,0.0,4.9,0.0,4.7,0.0,50.0,8.2,97,81
8,Victoria Macaulay,7,.000,.000,.000,.000,0.0,16.3,8.4,0.0,0.0,13.9,0.0,7.1,0,77
9,B.J. Williams,6,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,24.7,0,91
10,School Totals,200,.503,.474,.298,.281,30.3,57.1,44.1,45.8,14.1,17.1,20.8,100.0,91.5,74.6
